Taxa,Source,PC1,PC2,PC3
52206,UI,-34.916946,-2.8767343,-11.221598
52217,UI,2.6151636,-14.320602,9.040436
52229,UI,-4.780899,-11.671493,10.890738
52240,UI,17.967722,-13.677846,-8.342949
52175,UI,9.986672,-9.983059,-13.363706
52185,UI,-29.084272,-4.447306,-20.121458
52207,UI,-26.574001,1.3416958,-9.391276
52218,UI,-1.3397729,-12.234051,13.661674
52230,UI,2.6979854,-12.067279,9.234099
52241,UI,18.338417,-10.729069,-5.80633
52176,UI,9.709801,-14.195751,-13.988038
52186,UI,-28.598984,0.8292545,-15.637367
52197,UI,-32.613075,-4.0377865,-13.274423
52208,UI,-34.040855,-0.09011458,-18.538612
52219,UI,4.063138,-5.9656153,6.494234
52231,UI,-5.4622445,-6.9769926,6.2406783
52242,UI,21.374973,-23.267603,-26.03384
52187,UI,-27.254856,-3.0326478,-20.909174
52209,UI,-34.111813,-0.07481701,-18.537546
52220,UI,0.77722424,-0.18793347,12.300949
52232,UI,-8.307806,-8.072516,8.188525
52243,UI,24.622816,-24.450584,-23.720053
52198,UI,-33.282753,-11.853489,-10.142036
52210,UI,-14.368412,-0.18309999,-6.7789793
52221,UI,21.511978,-17.601591,-5.8446374
52233,UI,18.70995,-12.227496,-4.807839
52244,UI,23.324432,-19.963305,-24.608461
52177,UI,-12.587868,1.5649233,-5.087191
52189,UI,-34.686836,-9.367159,-4.263434
52199,UI,-35.433765,-8.147522,-8.231809
52211,UI,6.378181,2.6815145,-0.67402864
52222,UI,13.9492855,-16.5112,-20.619629
52234,UI,21.044048,-12.739904,-7.7599983
52245,UI,9.4666,-15.974419,-17.191118
52178,UI,-26.758223,-3.1992776,-10.760811
52190,UI,-32.525337,-9.402704,-3.7536402
52200,UI,-35.709625,-12.261109,-11.023362
52212,UI,4.8581104,15.28533,5.0917306
52223,UI,13.398648,-20.801134,-16.8104
52235,UI,-8.794573,-3.4939034,8.043174
52246,UI,-2.5803776,-0.9377538,5.1431894
52179,UI,-25.763437,-3.7798502,-7.036902
52191,UI,-9.505399,-5.4800973,-3.3642395
52201,UI,-33.669323,-8.487394,-8.595212
52213,UI,8.72631,18.286814,0.46991318
52224,UI,-4.091209,8.442292,-3.6828198
52236,UI,25.551071,-16.01599,-10.50539
52247,UI,24.698063,-12.801298,-7.8678675
52180,UI,-20.581633,-6.0436845,-4.706648
52192,UI,-31.574333,-8.285749,-2.0850294
52202,UI,-29.636189,-11.321068,-9.385817
52214,UI,5.669909,13.075088,8.129607
52225,UI,8.825267,-12.584299,3.121146
52237,UI,9.3851385,7.6024027,-16.941383
52248,UI,25.169302,-12.515234,-8.072551
