Source,...2,BLUPs_RF,E1_RF,E2_RF,E4_RF,E5_RF
GP502-correlation- 31 - RF,E2,0.245030864,0.293795409,0.279088184,0.185856126,0.006494453
GP502-correlation- 32 - RF,E2,0.235507803,0.358792682,0.283010588,0.215413902,-0.061861994
GP502-correlation- 33 - RF,E2,0.565756432,0.457216539,0.552319194,0.362946647,0.208088651
GP502-correlation- 34 - RF,E2,0.141135806,0.380889748,0.036451447,0.209885005,-0.226854997
GP502-correlation- 35 - RF,E2,0.370286636,0.422566244,0.47792399,-0.069188672,-5.40E-05
GP502-correlation- 36 - RF,E2,0.321979791,0.211198049,0.031499173,0.245765901,0.257536059
GP502-correlation- 37 - RF,E2,0.285469836,0.413822495,0.309014591,-0.126487766,-0.03098224
GP502-correlation- 38 - RF,E2,0.316969763,0.097987776,0.308233132,0.126015064,0.130565011
GP502-correlation- 39 - RF,E2,0.325660858,0.18583872,0.345039543,0.276453271,0.133387285
GP502-correlation- 40 - RF,E2,0.643550772,0.38539248,0.609728356,0.085202485,0.296633182
GP502-correlation- 41 - RF,E2,0.190742553,0.425132019,0.258184871,0.171263463,-0.10230249
GP502-correlation- 42 - RF,E2,0.063156343,0.181827374,0.057179449,0.136472452,-0.039234074
GP502-correlation- 43 - RF,E2,0.285099975,0.670977322,0.550437035,-0.029603176,-0.24636332
GP502-correlation- 44 - RF,E2,0.046436701,0.05521182,0.244883379,0.195063126,-0.239215757
GP502-correlation- 45 - RF,E2,0.228519099,0.230756608,0.229436994,-0.119936974,0.227822153
GP502-correlation- 46 - RF,E2,0.382185602,0.312993897,0.401212447,0.132102263,0.042235684
GP502-correlation- 47 - RF,E2,0.316227671,0.311274455,0.268809723,0.143853357,0.199521209
GP502-correlation- 48 - RF,E2,0.375323922,0.329257443,0.473231511,0.011509531,-0.130798766
GP502-correlation- 49 - RF,E2,0.135054876,0.072182752,0.183507777,-0.059925094,0.172814951
GP502-correlation- 50 - RF,E2,0.355289894,0.419130774,0.480936744,0.098545777,0.054860198
GP502-correlation- 1 - RF,E4,0.082099095,-0.048827213,0.12462259,0.043030518,0.101977538
GP502-correlation- 2 - RF,E4,0.262015597,0.238754099,0.125559318,0.454721888,0.225258642
GP502-correlation- 3 - RF,E4,0.362517885,0.232729881,0.252065461,0.13444277,0.322116422
GP502-correlation- 4 - RF,E4,0.032741843,0.200014062,0.096151459,-0.095868636,-0.043668917
GP502-correlation- 5 - RF,E4,0.187588079,0.241368092,0.178330484,0.269020739,-0.116641752
GP502-correlation- 6 - RF,E4,0.137375734,0.038649269,-0.019272194,-0.019018672,0.377416025
GP502-correlation- 7 - RF,E4,0.341538079,0.346787468,0.341501795,0.403449566,-0.065784409
GP502-correlation- 8 - RF,E4,0.26456427,0.297160154,0.262688672,0.168420075,-0.025216476
GP502-correlation- 9 - RF,E4,0.136602496,0.076990951,0.13054985,0.172346717,-0.051601202
GP502-correlation- 10 - RF,E4,0.0499307,-0.006571969,0.069902902,0.005685836,-0.047259438
GP502-correlation- 11 - RF,E4,0.309657275,0.201380775,0.203315644,0.127298945,0.269464197
GP502-correlation- 12 - RF,E4,0.057025155,0.373059714,0.070816994,0.37449394,-0.098008271
GP502-correlation- 13 - RF,E4,0.233276791,0.226298013,0.169647267,0.191146454,0.105874086
GP502-correlation- 14 - RF,E4,0.262538876,0.212880841,0.043650553,0.289452129,0.104330102
GP502-correlation- 15 - RF,E4,0.106987291,0.195054273,0.051462523,0.160981158,-0.033264172
GP502-correlation- 16 - RF,E4,0.165172328,0.214350125,0.010441919,0.040722498,0.371958715
GP502-correlation- 17 - RF,E4,0.255608026,0.516862303,0.183490702,0.110781692,0.140902013
GP502-correlation- 18 - RF,E4,0.152464441,0.365737538,0.208877053,0.093025762,0.007902264
GP502-correlation- 19 - RF,E4,0.537531764,0.494065994,0.33898542,0.167613355,0.423761851
GP502-correlation- 20 - RF,E4,0.112563671,0.027535486,0.123749065,0.071091523,0.092610511
GP502-correlation- 21 - RF,E4,0.364798632,0.34775025,0.348724847,0.170024694,0.057758955
GP502-correlation- 22 - RF,E4,0.129680385,0.146562596,0.109125789,0.017116525,0.016830611
GP502-correlation- 23 - RF,E4,0.068359804,0.101648928,0.08340925,0.007536904,0.168991471
GP502-correlation- 24 - RF,E4,0.152576387,0.264799845,0.108383363,0.160669253,0.004854261
GP502-correlation- 25 - RF,E4,-0.061966758,-0.227817421,-0.117369994,-0.139829927,0.01751523
GP502-correlation- 26 - RF,E4,0.227070233,0.273378592,0.101705623,-0.061818806,0.198084278
GP502-correlation- 27 - RF,E4,0.134255264,0.338198105,0.143537287,-0.022067647,0.082630067
GP502-correlation- 28 - RF,E4,0.038422541,0.107130726,0.213766684,-0.212493041,-0.053114068
GP502-correlation- 29 - RF,E4,0.209245706,0.242576156,0.193190331,0.207541919,0.000470779
GP502-correlation- 30 - RF,E4,0.10564971,0.36860867,0.085024455,-0.161630239,0.019924518
GP502-correlation- 31 - RF,E4,0.012449331,-0.022668847,0.040519328,0.017330524,-0.150814577
GP502-correlation- 32 - RF,E4,0.13847616,0.297371128,0.164058949,0.057684521,-0.055342208
GP502-correlation- 33 - RF,E4,0.184166311,0.059156248,0.071172901,0.037236113,0.19843294
GP502-correlation- 34 - RF,E4,0.028186757,9.60E-05,0.173648323,0.021079562,-0.09700826
GP502-correlation- 35 - RF,E4,0.30515369,0.320415482,0.207792215,0.008905126,0.194417116
GP502-correlation- 36 - RF,E4,0.156604919,0.307768314,-0.060935474,0.08302788,0.100261198
GP502-correlation- 37 - RF,E4,0.317672106,0.473078331,0.354114608,0.235268082,-0.029203196
GP502-correlation- 38 - RF,E4,0.367788638,0.504007335,0.28426734,0.162678307,0.187160801
GP502-correlation- 39 - RF,E4,0.193398171,0.27030513,0.092787993,0.209158746,0.128791082
GP502-correlation- 40 - RF,E4,0.240655906,0.29379595,0.126979004,0.056733452,0.118101674
GP502-correlation- 41 - RF,E4,0.158475244,0.128007748,0.019705793,0.383805881,0.081275524
GP502-correlation- 42 - RF,E4,0.32621534,0.431167183,0.368369747,-0.060026213,0.091541064
GP502-correlation- 43 - RF,E4,-0.089578667,0.107030351,0.195679937,-0.183732542,-0.204583582
GP502-correlation- 44 - RF,E4,0.013645933,0.411748979,0.089919968,-0.119660884,-0.141495228
GP502-correlation- 45 - RF,E4,0.043339419,0.331931608,0.139297669,0.072398737,-0.054843171
GP502-correlation- 46 - RF,E4,-0.018909084,0.00091018,0.063221677,-0.130500233,0.057543574
GP502-correlation- 47 - RF,E4,0.327013025,0.356604145,0.150596935,0.435070001,0.335084978
GP502-correlation- 48 - RF,E4,0.228409938,0.268023502,0.156590817,0.182240892,-0.055825365
GP502-correlation- 49 - RF,E4,0.275953842,0.385056717,0.173781191,0.276139998,0.057292919
GP502-correlation- 50 - RF,E4,0.164181122,0.154723602,0.126064153,0.00131992,0.136853784
GP502-correlation- 1 - RF,E5,0.476144502,0.118402911,0.285442523,0.157083061,0.58508724
GP502-correlation- 2 - RF,E5,0.118828369,-0.127231904,-0.076504172,0.154144504,0.488250638
GP502-correlation- 3 - RF,E5,0.202776429,-0.029298921,0.013989548,0.120633788,0.313064613
GP502-correlation- 4 - RF,E5,0.226328336,-0.059168435,0.058220128,0.088128013,0.41534172
