"ENTa","Source","Year_Rep","Value"
52013,"WSU","YLD_E5",6846.06
52013,"WSU","YLD_BLUPs",6218.51
52014,"WSU","YLD_E1",5346.62
52014,"WSU","YLD_E2",5522.02
52014,"WSU","YLD_E4",5771.57
52014,"WSU","YLD_E5",6286.66
52014,"WSU","YLD_BLUPs",5727.39
52015,"WSU","YLD_E1",6384.95
52015,"WSU","YLD_E2",5851.76
52015,"WSU","YLD_E4",6018.32
52015,"WSU","YLD_E5",7005.28
52015,"WSU","YLD_BLUPs",6503.33
52016,"WSU","YLD_E1",6584.31
52016,"WSU","YLD_E2",5549.86
52016,"WSU","YLD_E4",5999.19
52016,"WSU","YLD_E5",6767.61
52016,"WSU","YLD_BLUPs",6215.24
52017,"WSU","YLD_E1",4326.21
52017,"WSU","YLD_E2",5086.29
52017,"WSU","YLD_E4",5764.83
52017,"WSU","YLD_E5",5919.65
52017,"WSU","YLD_BLUPs",5193.65
52018,"WSU","YLD_E1",6675.17
52018,"WSU","YLD_E2",5434.23
52018,"WSU","YLD_E4",6048.59
52018,"WSU","YLD_E5",7059.22
52018,"WSU","YLD_BLUPs",6344.04
52019,"WSU","YLD_E1",6586.31
52019,"WSU","YLD_E2",5563.77
52019,"WSU","YLD_E4",5853.59
52019,"WSU","YLD_E5",7059.17
52019,"WSU","YLD_BLUPs",6324.27
52020,"WSU","YLD_E1",5590.46
52020,"WSU","YLD_E2",5515.6
52020,"WSU","YLD_E4",5615.93
52020,"WSU","YLD_E5",6026.51
52020,"WSU","YLD_BLUPs",5533.69
52021,"WSU","YLD_E1",5776.17
52021,"WSU","YLD_E2",5303.62
52021,"WSU","YLD_E4",5748.73
52021,"WSU","YLD_E5",6178.65
52021,"WSU","YLD_BLUPs",5575.67
52022,"WSU","YLD_E1",5179.3
52022,"WSU","YLD_E2",5576.62
52022,"WSU","YLD_E4",5895.29
52022,"WSU","YLD_E5",6841.7
52022,"WSU","YLD_BLUPs",6105.33
52023,"WSU","YLD_E1",7258.74
52023,"WSU","YLD_E2",5814.29
52023,"WSU","YLD_E4",6122.63
52023,"WSU","YLD_E5",6761.49
52023,"WSU","YLD_BLUPs",6466.54
52024,"WSU","YLD_E1",6983.35
52024,"WSU","YLD_E2",5419.24
52024,"WSU","YLD_E4",6060.15
52024,"WSU","YLD_E5",6389.67
52024,"WSU","YLD_BLUPs",5993.21
52025,"WSU","YLD_E1",6789.01
52025,"WSU","YLD_E2",5675.12
52025,"WSU","YLD_E4",5610.29
52025,"WSU","YLD_E5",6875.07
52025,"WSU","YLD_BLUPs",6196.47
52026,"WSU","YLD_E1",6654.43
52026,"WSU","YLD_E2",6051.97
52026,"WSU","YLD_E4",5917.86
52026,"WSU","YLD_E5",7207.15
52026,"WSU","YLD_BLUPs",6706.01
52027,"UI","YLD_E1",5757.13
52027,"UI","YLD_E2",5592.68
52027,"UI","YLD_E4",6488.82
52027,"UI","YLD_E5",7143.12
52027,"UI","YLD_BLUPs",6584.2
52028,"UI","YLD_E1",5031.64
52028,"UI","YLD_E2",5778.96
52028,"UI","YLD_E4",6009.78
52028,"UI","YLD_E5",6561.7
52028,"UI","YLD_BLUPs",6094.78
52029,"UI","YLD_E1",4397.4
52029,"UI","YLD_E2",5448.15
52029,"UI","YLD_E4",6179.46
52029,"UI","YLD_E5",7058.25
52029,"UI","YLD_BLUPs",6209.06
52030,"UI","YLD_E1",4740.71
52030,"UI","YLD_E2",5641.93
52030,"UI","YLD_E4",6149.32
52030,"UI","YLD_E5",6902.13
52030,"UI","YLD_BLUPs",6244.34
52031,"UI","YLD_E1",5559.38
52031,"UI","YLD_E2",6010.21
52031,"UI","YLD_E4",6622.58
52031,"UI","YLD_E5",7101.36
52031,"UI","YLD_BLUPs",6827.75
52032,"UI","YLD_E1",5635.13
52032,"UI","YLD_E2",5322.89
52032,"UI","YLD_E4",6177.67
52032,"UI","YLD_E5",6612.18
52032,"UI","YLD_BLUPs",5998.05
52033,"UI","YLD_E1",5961.03
52033,"UI","YLD_E2",5523.09
52033,"UI","YLD_E4",5827.58
52033,"UI","YLD_E5",6149.14
52033,"UI","YLD_BLUPs",5728.21
52034,"UI","YLD_E1",5350.16
52034,"UI","YLD_E2",5596.96
52034,"UI","YLD_E4",5972.08
52034,"UI","YLD_E5",6363.11
52034,"UI","YLD_BLUPs",5896.3
52035,"UI","YLD_E1",5200.27
52035,"UI","YLD_E2",5624.8
52035,"UI","YLD_E4",6034.42
52035,"UI","YLD_E5",6758.05
52035,"UI","YLD_BLUPs",6145.62
52036,"UI","YLD_E1",5345.71
52036,"UI","YLD_E2",5737.21
52036,"UI","YLD_E4",5490.57
52036,"UI","YLD_E5",6473.18
52036,"UI","YLD_BLUPs",5829.78
52037,"UI","YLD_E1",5647.37
52037,"UI","YLD_E2",5561.63
52037,"UI","YLD_E4",6364.14
52037,"UI","YLD_E5",6646.02
52037,"UI","YLD_BLUPs",6227.02
52038,"UI","YLD_E1",5318.49
52038,"UI","YLD_E2",5604.46
52038,"UI","YLD_E4",6067.31
52038,"UI","YLD_E5",6603.56
52038,"UI","YLD_BLUPs",6072.33
52039,"UI","YLD_E1",4101.15
52039,"UI","YLD_E2",5319.68
52039,"UI","YLD_E4",6065.93
52039,"UI","YLD_E5",6756.33
52039,"UI","YLD_BLUPs",5896.48
52040,"UI","YLD_E1",3787.15
52040,"UI","YLD_E2",5240.45
52040,"UI","YLD_E4",5820.98
52040,"UI","YLD_E5",6363.84
52040,"UI","YLD_BLUPs",5502.97
52041,"Other","YLD_E1",5794.12
52041,"Other","YLD_E2",6181.51
52041,"Other","YLD_E4",5983.64
52041,"Other","YLD_E5",6653.46
52041,"Other","YLD_BLUPs",6420.36
52042,"UI","YLD_E1",5263.56
52042,"UI","YLD_E2",5640.86
52042,"UI","YLD_E4",5885.79
52042,"UI","YLD_E5",6631.66
52042,"UI","YLD_BLUPs",6026.27
52043,"UI","YLD_E1",5503.65
52043,"UI","YLD_E2",5785.39
52043,"UI","YLD_E4",5966.44
52043,"UI","YLD_E5",6648.43
52043,"UI","YLD_BLUPs",6169.29
52044,"UI","YLD_E1",6090.47
52044,"UI","YLD_E2",5735.07
52044,"UI","YLD_E4",6235.06
52044,"UI","YLD_E5",6879.66
52044,"UI","YLD_BLUPs",6435.81
52045,"UI","YLD_E1",6134.25
52045,"UI","YLD_E2",5607.67
52045,"UI","YLD_E4",6353.68
52045,"UI","YLD_E5",7029.91
52045,"UI","YLD_BLUPs",6504.5
52046,"UI","YLD_E1",4904.65
52046,"UI","YLD_E2",5418.17
52046,"UI","YLD_E4",6117.81
52046,"UI","YLD_E5",7003.43
52046,"UI","YLD_BLUPs",6179.96
52047,"UI","YLD_E1",5155.73
52047,"UI","YLD_E2",5504.89
52047,"UI","YLD_E4",5988.18
52047,"UI","YLD_E5",7006.44
52047,"UI","YLD_BLUPs",6195.65
52048,"UI","YLD_E1",4126.3
52048,"UI","YLD_E2",5168.72
52048,"UI","YLD_E4",5923.64
52048,"UI","YLD_E5",6191.21
52048,"UI","YLD_BLUPs",5440.35
52049,"UI","YLD_E1",6046.42
52049,"UI","YLD_E2",5851.76
52049,"UI","YLD_E4",6085.61
52049,"UI","YLD_E5",6532.22
52049,"UI","YLD_BLUPs",6238.04
52050,"UI","YLD_E1",4212.2
52050,"UI","YLD_E2",5345.37
52050,"UI","YLD_E4",4884.93
52050,"UI","YLD_E5",6672.68
52050,"UI","YLD_BLUPs",5373
52051,"UI","YLD_E1",4882.87
52051,"UI","YLD_E2",5379.63
52051,"UI","YLD_E4",5859.92
52051,"UI","YLD_E5",6144.21
52051,"UI","YLD_BLUPs",5567.51
52052,"UI","YLD_E1",6019.27
52052,"UI","YLD_E2",5676.19
52052,"UI","YLD_E4",5872.86
52052,"UI","YLD_E5",7044.34
52052,"UI","YLD_BLUPs",6336.17
52053,"UI","YLD_E1",3798.8
52053,"UI","YLD_E2",5148.38
52053,"UI","YLD_E4",6052.44
52053,"UI","YLD_E5",7100.28
52053,"UI","YLD_BLUPs",5963.59
52054,"UI","YLD_E1",5920.75
52054,"UI","YLD_E2",5743.63
52054,"UI","YLD_E4",5891.71
52054,"UI","YLD_E5",7349.88
52054,"UI","YLD_BLUPs",6543.16
52055,"UI","YLD_E1",4626.71
52055,"UI","YLD_E2",5374.28
52055,"UI","YLD_E4",6108.59
52055,"UI","YLD_E5",6770.71
52055,"UI","YLD_BLUPs",5997.99
52056,"UI","YLD_E1",4374.78
52056,"UI","YLD_E2",4893.58
52056,"UI","YLD_E4",4874.6
52056,"UI","YLD_E5",5666.98
52056,"UI","YLD_BLUPs",4574.49
52057,"UI","YLD_E1",4809.92
52057,"UI","YLD_E2",5288.63
52057,"UI","YLD_E4",6051.62
52057,"UI","YLD_E5",6933.68
52057,"UI","YLD_BLUPs",6034.14
52058,"UI","YLD_E1",4355.05
52058,"UI","YLD_E2",5165.51
52058,"UI","YLD_E4",6065.79
52058,"UI","YLD_E5",6734.59
52058,"UI","YLD_BLUPs",5822.37
52059,"UCD","YLD_E1",6833.88
52059,"UCD","YLD_E2",6013.42
52059,"UCD","YLD_E4",5748.59
52059,"UCD","YLD_E5",6589.73
52059,"UCD","YLD_BLUPs",6283.75
52060,"UCD","YLD_E1",7192.86
52060,"UCD","YLD_E2",5846.41
52060,"UCD","YLD_E4",6212.08
52060,"UCD","YLD_E5",6832.38
52060,"UCD","YLD_BLUPs",6555.93
52061,"UCD","YLD_E1",6986.33
52061,"UCD","YLD_E2",5798.23
52061,"UCD","YLD_E4",6215.65
52061,"UCD","YLD_E5",6762.21
52061,"UCD","YLD_BLUPs",6474
52062,"UCD","YLD_E1",6877.99
52062,"UCD","YLD_E2",5554.14
52062,"UCD","YLD_E4",6156.48
52062,"UCD","YLD_E5",6716.06
52062,"UCD","YLD_BLUPs",6280.78
52063,"UCD","YLD_E1",4737.1
52063,"UCD","YLD_E2",5155.88
52063,"UCD","YLD_E4",6347.76
52063,"UCD","YLD_E5",7024.16
52063,"UCD","YLD_BLUPs",6131.57
52064,"UCD","YLD_E1",5653.39
52064,"UCD","YLD_E2",5477.06
52064,"UCD","YLD_E4",5457.81
52064,"UCD","YLD_E5",6605.76
52064,"UCD","YLD_BLUPs",5774.97
52065,"UCD","YLD_E1",7569.06
52065,"UCD","YLD_E2",5478.13
52065,"UCD","YLD_E4",6017.35
52065,"UCD","YLD_E5",6415.62
52065,"UCD","YLD_BLUPs",6072.45
52066,"UCD","YLD_E1",6019.82
52066,"UCD","YLD_E2",4904.29
52066,"UCD","YLD_E4",5755.61
52066,"UCD","YLD_E5",6766.56
52066,"UCD","YLD_BLUPs",5710.83
52067,"UCD","YLD_E1",6841.82
52067,"UCD","YLD_E2",5232.96
52067,"UCD","YLD_E4",5986.66
52067,"UCD","YLD_E5",6137.76
52067,"UCD","YLD_BLUPs",5707.56
52068,"UCD","YLD_E1",6907.02
52068,"UCD","YLD_E2",5405.33
52068,"UCD","YLD_E4",5857.31
52068,"UCD","YLD_E5",6484.36
52068,"UCD","YLD_BLUPs",5945.98
52069,"UCD","YLD_E1",6656.8
52069,"UCD","YLD_E2",5734
52069,"UCD","YLD_E4",5901.76
52069,"UCD","YLD_E5",6647.6
52069,"UCD","YLD_BLUPs",6213.37
52070,"UCD","YLD_E1",6637.03
52070,"UCD","YLD_E2",5412.82
52070,"UCD","YLD_E4",5889.1
52070,"UCD","YLD_E5",6331.33
52070,"UCD","YLD_BLUPs",5854.61
52071,"UCD","YLD_E1",6132.43
52071,"UCD","YLD_E2",5389.27
52071,"UCD","YLD_E4",5909.05
52071,"UCD","YLD_E5",6207.35
52071,"UCD","YLD_BLUPs",5737.24
52072,"UCD","YLD_E1",6531.9
52072,"UCD","YLD_E2",5250.09
52072,"UCD","YLD_E4",5874.78
52072,"UCD","YLD_E5",6745.07
52072,"UCD","YLD_BLUPs",5982.07
52073,"UCD","YLD_E1",6581.83
52073,"UCD","YLD_E2",5404.26
52073,"UCD","YLD_E4",5915.66
52073,"UCD","YLD_E5",6560.6
52073,"UCD","YLD_BLUPs",5984.58
52074,"UCD","YLD_E1",6163.96
52074,"UCD","YLD_E2",5724.36
52074,"UCD","YLD_E4",5625.56
52074,"UCD","YLD_E5",6493.71
52074,"UCD","YLD_BLUPs",5962.42
52075,"UCD","YLD_E1",6454.38
52075,"UCD","YLD_E2",5862.47
52075,"UCD","YLD_E4",5853.45
52075,"UCD","YLD_E5",7064.45
52075,"UCD","YLD_BLUPs",6478.32
52076,"UCD","YLD_E1",5816.85
52076,"UCD","YLD_E2",5531.66
52076,"UCD","YLD_E4",5705.24
52076,"UCD","YLD_E5",6768.6
52076,"UCD","YLD_BLUPs",6014.72
52077,"UCD","YLD_E1",5618.88
52077,"UCD","YLD_E2",5474.92
52077,"UCD","YLD_E4",6439.83
52077,"UCD","YLD_E5",6660.82
52077,"UCD","YLD_BLUPs",6217.63
52078,"UCD","YLD_E1",6330.79
52078,"UCD","YLD_E2",5952.4
52078,"UCD","YLD_E4",5766.89
52078,"UCD","YLD_E5",6610.09
52078,"UCD","YLD_BLUPs",6226.03
52079,"UCD","YLD_E1",6433.08
52079,"UCD","YLD_E2",5447.08
52079,"UCD","YLD_E4",6009.37
52079,"UCD","YLD_E5",6059.46
52079,"UCD","YLD_BLUPs",5754.62
52080,"UCD","YLD_E1",7269.57
52080,"UCD","YLD_E2",5757.55
52080,"UCD","YLD_E4",6294.37
52080,"UCD","YLD_E5",6873.24
52080,"UCD","YLD_BLUPs",6571.84
52081,"UCD","YLD_E1",6673.79
52081,"UCD","YLD_E2",5615.16
52081,"UCD","YLD_E4",6335.79
52081,"UCD","YLD_E5",6674.18
52081,"UCD","YLD_BLUPs",6348.94
52082,"UCD","YLD_E1",5394.92
52082,"UCD","YLD_E2",4987.79
52082,"UCD","YLD_E4",5705.38
52082,"UCD","YLD_E5",6258.36
52082,"UCD","YLD_BLUPs",5396.85
52083,"UCD","YLD_E1",5301.18
52083,"UCD","YLD_E2",5437.44
52083,"UCD","YLD_E4",5833.36
52083,"UCD","YLD_E5",6070.24
52083,"UCD","YLD_BLUPs",5582.67
52084,"UCD","YLD_E1",7306.51
52084,"UCD","YLD_E2",5746.85
52084,"UCD","YLD_E4",6090.15
52084,"UCD","YLD_E5",6451.95
52084,"UCD","YLD_BLUPs",6247.19
52085,"UCD","YLD_E1",6919.15
52085,"UCD","YLD_E2",5630.15
52085,"UCD","YLD_E4",6220.06
52085,"UCD","YLD_E5",6685.1
52085,"UCD","YLD_BLUPs",6335.41
52086,"UCD","YLD_E1",6355.7
52086,"UCD","YLD_E2",5714.73
52086,"UCD","YLD_E4",5873.82
52086,"UCD","YLD_E5",6557.57
52086,"UCD","YLD_BLUPs",6114.66
52087,"UCD","YLD_E1",5613.64
52087,"UCD","YLD_E2",5659.06
52087,"UCD","YLD_E4",5904.1
52087,"UCD","YLD_E5",6751.75
52087,"UCD","YLD_BLUPs",6141.37
52088,"UCD","YLD_E1",3845.58
52088,"UCD","YLD_E2",4883.95
52088,"UCD","YLD_E4",6037.72
52088,"UCD","YLD_E5",7338.9
52088,"UCD","YLD_BLUPs",5950.76
52089,"UCD","YLD_E1",6525.27
52089,"UCD","YLD_E2",5007.07
52089,"UCD","YLD_E4",6183.04
52089,"UCD","YLD_E5",6549.5
52089,"UCD","YLD_BLUPs",5870.47
52090,"UCD","YLD_E1",7008.12
52090,"UCD","YLD_E2",5706.16
52090,"UCD","YLD_E4",5989.97
52090,"UCD","YLD_E5",7037.47
52090,"UCD","YLD_BLUPs",6484.03
52091,"UCD","YLD_E1",4514.61
52091,"UCD","YLD_E2",5496.33
52091,"UCD","YLD_E4",6373.5
52091,"UCD","YLD_E5",7127.58
52091,"UCD","YLD_BLUPs",6366.43
52092,"UCD","YLD_E1",3995.51
52092,"UCD","YLD_E2",5333.6
52092,"UCD","YLD_E4",6400.47
52092,"UCD","YLD_E5",6559.07
52092,"UCD","YLD_BLUPs",5926.45
52093,"MSU","YLD_E1",4584.92
52093,"MSU","YLD_E2",5068.09
52093,"MSU","YLD_E4",5176.8
52093,"MSU","YLD_E5",6345.07
52093,"MSU","YLD_BLUPs",5194.87
52094,"MSU","YLD_E1",5027.36
52094,"MSU","YLD_E2",5173.01
52094,"MSU","YLD_E4",5494.01
52094,"MSU","YLD_E5",6146.51
52094,"MSU","YLD_BLUPs",5313.76
52095,"MSU","YLD_E1",4408.81
52095,"MSU","YLD_E2",5076.65
52095,"MSU","YLD_E4",5897.35
52095,"MSU","YLD_E5",6515.23
52095,"MSU","YLD_BLUPs",5584.65
52096,"MSU","YLD_E1",5036.61
52096,"MSU","YLD_E2",5331.46
52096,"MSU","YLD_E4",5913.73
52096,"MSU","YLD_E5",6572.9
52096,"MSU","YLD_BLUPs",5817.01
52097,"MSU","YLD_E1",5490.11
52097,"MSU","YLD_E2",5641.93
52097,"MSU","YLD_E4",5881.53
52097,"MSU","YLD_E5",6784.51
52097,"MSU","YLD_BLUPs",6130.11
52098,"MSU","YLD_E1",5121.27
52098,"MSU","YLD_E2",5255.44
52098,"MSU","YLD_E4",5828.96
52098,"MSU","YLD_E5",6529.43
52098,"MSU","YLD_BLUPs",5722.78
52099,"MSU","YLD_E1",5148.71
52099,"MSU","YLD_E2",4850.76
52099,"MSU","YLD_E4",5855.79
52099,"MSU","YLD_E5",6537.9
52099,"MSU","YLD_BLUPs",5520.81
52100,"MSU","YLD_E1",5518.76
52100,"MSU","YLD_E2",4982.44
52100,"MSU","YLD_E4",5966.44
52100,"MSU","YLD_E5",6513.46
52100,"MSU","YLD_BLUPs",5657.83
52101,"MSU","YLD_E1",4998.09
52101,"MSU","YLD_E2",5181.57
52101,"MSU","YLD_E4",5639.05
52101,"MSU","YLD_E5",6285.86
52101,"MSU","YLD_BLUPs",5455.21
52102,"MSU","YLD_E1",5853.78
52102,"MSU","YLD_E2",5295.06
52102,"MSU","YLD_E4",5916.76
52102,"MSU","YLD_E5",6410.35
52102,"MSU","YLD_BLUPs",5778.41
52103,"MSU","YLD_E1",5110.3
52103,"MSU","YLD_E2",5121.62
52103,"MSU","YLD_E4",5802.67
52103,"MSU","YLD_E5",6837.42
52103,"MSU","YLD_BLUPs",5809.95
52104,"MSU","YLD_E1",4677.73
52104,"MSU","YLD_E2",5628.01
52104,"MSU","YLD_E4",6193.77
52104,"MSU","YLD_E5",6503.08
52104,"MSU","YLD_BLUPs",6027.08
52105,"MSU","YLD_E1",4098.62
52105,"MSU","YLD_E2",5092.71
52105,"MSU","YLD_E4",5716.8
52105,"MSU","YLD_E5",6527.9
52105,"MSU","YLD_BLUPs",5497.08
52106,"MSU","YLD_E1",5586.58
52106,"MSU","YLD_E2",5330.38
52106,"MSU","YLD_E4",5824.55
52106,"MSU","YLD_E5",6809.43
52106,"MSU","YLD_BLUPs",5958.57
52107,"MSU","YLD_E1",4653.61
52107,"MSU","YLD_E2",5440.66
52107,"MSU","YLD_E4",5810.66
52107,"MSU","YLD_E5",6592.98
52107,"MSU","YLD_BLUPs",5810.83
52108,"MSU","YLD_E1",4973.8
52108,"MSU","YLD_E2",5499.54
52108,"MSU","YLD_E4",5654.46
52108,"MSU","YLD_E5",6859.66
52108,"MSU","YLD_BLUPs",5953.56
52109,"MSU","YLD_E1",5854.9
52109,"MSU","YLD_E2",5533.8
52109,"MSU","YLD_E4",5569.83
52109,"MSU","YLD_E5",6459.49
52109,"MSU","YLD_BLUPs",5789.08
52110,"MSU","YLD_E1",5026.62
52110,"MSU","YLD_E2",5079.87
52110,"MSU","YLD_E4",5907.67
52110,"MSU","YLD_E5",6581.83
52110,"MSU","YLD_BLUPs",5681.56
52111,"MSU","YLD_E1",5726.3
52111,"MSU","YLD_E2",5589.47
52111,"MSU","YLD_E4",6010.88
52111,"MSU","YLD_E5",6624.68
52111,"MSU","YLD_BLUPs",6087.43
52112,"MSU","YLD_E1",4337.26
52112,"MSU","YLD_E2",5174.08
52112,"MSU","YLD_E4",5407.31
52112,"MSU","YLD_E5",6421.93
52112,"MSU","YLD_BLUPs",5371.72
52113,"MSU","YLD_E1",6179.72
52113,"MSU","YLD_E2",5485.62
52113,"MSU","YLD_E4",5476.67
52113,"MSU","YLD_E5",6183.12
52113,"MSU","YLD_BLUPs",5597.02
52114,"MSU","YLD_E1",4234.53
52114,"MSU","YLD_E2",5201.91
52114,"MSU","YLD_E4",5844.23
52114,"MSU","YLD_E5",6188.21
52114,"MSU","YLD_BLUPs",5432.42
52115,"MSU","YLD_E1",4667.77
52115,"MSU","YLD_E2",5023.12
52115,"MSU","YLD_E4",5935.47
52115,"MSU","YLD_E5",6472.71
52115,"MSU","YLD_BLUPs",5570.37
52116,"MSU","YLD_E1",5262.36
52116,"MSU","YLD_E2",5503.82
52116,"MSU","YLD_E4",5927.9
52116,"MSU","YLD_E5",6311.78
52116,"MSU","YLD_BLUPs",5790.53
52117,"MSU","YLD_E1",5060.87
52117,"MSU","YLD_E2",5544.5
52117,"MSU","YLD_E4",5883.18
52117,"MSU","YLD_E5",6585.21
52117,"MSU","YLD_BLUPs",5929.07
52118,"CIMMYT","YLD_E1",5344.2
52118,"CIMMYT","YLD_E2",5511.32
52118,"CIMMYT","YLD_E4",6203.96
52118,"CIMMYT","YLD_E5",6879.44
52118,"CIMMYT","YLD_BLUPs",6236
52119,"CIMMYT","YLD_E1",5379.06
52119,"CIMMYT","YLD_E2",5595.89
52119,"CIMMYT","YLD_E4",6446.43
52119,"CIMMYT","YLD_E5",7010.09
52119,"CIMMYT","YLD_BLUPs",6460.83
52120,"CIMMYT","YLD_E1",6050.45
52120,"CIMMYT","YLD_E2",5622.66
52120,"CIMMYT","YLD_E4",5945.24
52120,"CIMMYT","YLD_E5",6245.51
52120,"CIMMYT","YLD_BLUPs",5893.91
52121,"CIMMYT","YLD_E1",6183.76
52121,"CIMMYT","YLD_E2",5242.6
52121,"CIMMYT","YLD_E4",6010.47
52121,"CIMMYT","YLD_E5",6821.68
52121,"CIMMYT","YLD_BLUPs",6048.13
52122,"CIMMYT","YLD_E1",5646
52122,"CIMMYT","YLD_E2",5340.02
52122,"CIMMYT","YLD_E4",5883.45
52122,"CIMMYT","YLD_E5",6502.34
52122,"CIMMYT","YLD_BLUPs",5822.2
52123,"CIMMYT","YLD_E1",6174.42
52123,"CIMMYT","YLD_E2",5983.45
52123,"CIMMYT","YLD_E4",5778.59
52123,"CIMMYT","YLD_E5",6569.14
52123,"CIMMYT","YLD_BLUPs",6211.39
52124,"CIMMYT","YLD_E1",6076
52124,"CIMMYT","YLD_E2",5622.66
52124,"CIMMYT","YLD_E4",5572.86
52124,"CIMMYT","YLD_E5",6514.06
52124,"CIMMYT","YLD_BLUPs",5888.43
52125,"CIMMYT","YLD_E1",5859.83
52125,"CIMMYT","YLD_E2",5896.73
52125,"CIMMYT","YLD_E4",5720.11
52125,"CIMMYT","YLD_E5",6543.25
52125,"CIMMYT","YLD_BLUPs",6097.64
52126,"CIMMYT","YLD_E1",5943.63
52126,"CIMMYT","YLD_E2",6129.05
52126,"CIMMYT","YLD_E4",5748.87
52126,"CIMMYT","YLD_E5",6296.71
52126,"CIMMYT","YLD_BLUPs",6105.8
52127,"CIMMYT","YLD_E1",5875.84
52127,"CIMMYT","YLD_E2",5659.06
52127,"CIMMYT","YLD_E4",5809.69
52127,"CIMMYT","YLD_E5",6382.36
52127,"CIMMYT","YLD_BLUPs",5917.64
52128,"CIMMYT","YLD_E1",6217.3
52128,"CIMMYT","YLD_E2",5952.4
52128,"CIMMYT","YLD_E4",6078.59
52128,"CIMMYT","YLD_E5",6527.58
52128,"CIMMYT","YLD_BLUPs",6302.06
52129,"CIMMYT","YLD_E1",5410.5
52129,"CIMMYT","YLD_E2",5742.56
52129,"CIMMYT","YLD_E4",6746.98
52129,"CIMMYT","YLD_E5",6390.36
52129,"CIMMYT","YLD_BLUPs",6324.33
52130,"CIMMYT","YLD_E1",6155.21
52130,"CIMMYT","YLD_E2",5520.95
52130,"CIMMYT","YLD_E4",5784.37
52130,"CIMMYT","YLD_E5",6867.39
52130,"CIMMYT","YLD_BLUPs",6127.08
52131,"CIMMYT","YLD_E1",6252.59
52131,"CIMMYT","YLD_E2",5638.72
52131,"CIMMYT","YLD_E4",5932.99
52131,"CIMMYT","YLD_E5",6767.26
52131,"CIMMYT","YLD_BLUPs",6206.61
52132,"CIMMYT","YLD_E1",5684.81
52132,"CIMMYT","YLD_E2",5626.94
52132,"CIMMYT","YLD_E4",5943.87
52132,"CIMMYT","YLD_E5",6661.34
52132,"CIMMYT","YLD_BLUPs",6096.35
52133,"CIMMYT","YLD_E1",5604.53
52133,"CIMMYT","YLD_E2",5470.63
52133,"CIMMYT","YLD_E4",6196.8
52133,"CIMMYT","YLD_E5",6059.43
52133,"CIMMYT","YLD_BLUPs",5774.97
52134,"CIMMYT","YLD_E1",5969.26
52134,"CIMMYT","YLD_E2",5371.07
52134,"CIMMYT","YLD_E4",6258.73
52134,"CIMMYT","YLD_E5",5629.46
52134,"CIMMYT","YLD_BLUPs",5538.24
52135,"CIMMYT","YLD_E1",5112
52135,"CIMMYT","YLD_E2",5851.76
52135,"CIMMYT","YLD_E4",6131.57
